Pmid,Age,Sex,Condition,Samplesize,Eligibility,Unnamed: 6
31158087,['not specified'],['male'],"['prostate cancer', 'high-risk, locally advanced metastatic or recurrent prostate cancer']",['more than 9000 men'],"[ ""The population under study consists of men with high-risk, locally advanced, metastatic or recurrent prostate cancer who are starting first-line long-term hormone therapy. The STAMPEDE trial has enrolled more than 9000 men in ten different comparisons so far.""]",
30646153,['18 years or older'],['female'],"['locally advanced cancer of the cervix', 'cervical carcinoma', 'cancer']",['171 patients'],"[""female, 18 years or older, newly diagnosed histologically confirmed squamous, adenosquamous, or adenocarcinoma FIGO stage IB-IVA carcinoma of the cervix, being considered for curative treatment using concurrent chemotherapy and pelvic radiotherapy, not suitable for primary surgery due to comorbidities""]",
30646110,['individuals aged > 18 years'],['female'],['breast cancer'],['125 patients'],"[""The eligibility criteria for the population under study include women aged 18 years or older with an indication for minor breast cancer surgery (cancer tumorectomy or tumorectomy with limited axillary node dissection), scheduled for day-case breast surgery under general anesthesia. Excluded are patients with an American Society of Anesthesiologists score of 4 or higher, body mass index less than 15 or greater than 45, indication for major surgery, refusal of hypnosis, previous surgery with hypnosis, psychiatric disorders, chronic pain, or use of therapeutic opioids for more than 3 months.""]",
30595329,['Cancer patients aged >16 years'],['male and female'],"['cancer', None]",['116 participants'],"[""Cancer patients aged >16 years who were treated with doxorubicin and met the inclusion and exclusion criterion."",Patients with LVEF \u226550%, no known cardiomyopathy, not on heart failure therapy, no regular daily beta-2 stimulant therapy for bronchial asthma, no severe peripheral arterial disease, no second or third degree heart block, no severe valvular heart disease, no earlier anthracycline derivatives therapy, no coronary artery disease, normal thyroid function, and not on beta-blockers or angiotensin converting-enzyme inhibitors.""]",
30594153,['64  years'],['female'],['resectable pancreatic ductal adenocarcinoma'],['166 patients'],"[['cT3', 'N0', 'N1', 'cM0']]",
30591959,['≥18 years'],['female'],"['extensive-stage small cell lung cancer', 'cancer']",['78 patients'],"[""age greater than 18 years"",""The eligibility criteria for the population under study include: non-progressive disease after 4-6 cycles of chemotherapy with a platinum doublet, no other prior therapies, brain metastases treated, asymptomatic, no corticosteroid use, no chronic steroid use (prednisone >10mg), no second malignancy within past 2 years except non-melanoma skin cancer or cervical carcinoma in situ, no pre-existing autoimmune disorder or immunodeficiency condition, and women not pregnant or breastfeeding."",""Eligible patients underwent leukapheresis  8 weeks after the last dose of chemotherapy."" ]",
30591028,['≥18 years'],['female'],"['advanced ovarian cancer', 'platinum-refractory or platinum-resistant advanced ovarian cancer']",['123 patients'],"[ ""18 years and older, female, histologically or cytologically confirmed EOC, primary peritoneal carcinoma or fallopian tube cancer, platinum-resistant or platinum-refractory, completed 1 to 3 platinum-containing regimens for their disease."",             ""The eligibility criteria for the population under study include measurable disease according to RECIST v1.0 guidelines, ECOG PS score \u22641, recovery to grade \u22641 from prior therapies' effects as per NCI-CTCAE v3.0 (except peripheral neuropathy resolving to grade \u22642), and exclusion of patients with brain metastases, leptomeningeal disease, or increased CA125 without clinical/radiographic progression."",             ""6 patients"",             ""110 evaluable patients""         ]",
30587441,['Not specified'],['female'],"['epithelial ovarian, fallopian tube, or primary peritoneal carcinoma']",['111 patients'],"[ ""The eligibility of the population under study includes: persistent or recurrent epithelial ovarian, fallopian tube, or primary peritoneal carcinoma, performance status (PS) \u22642, and at least one but no more than 3 prior chemotherapy regimens, measurable via RECIST 1.1 or non-measurable disease with specific criteria for non-measurable disease. Patients could not have received more than 1 non-platinum, non-taxane regimen for recurrent disease treatment, and prior treatment with weekly paclitaxel for recurrent or persistent disease was not allowed. Patients could have either platinum resistant or platinum sensitive recurrence.""         ]",
30587148,['8-18 years'],['male'],['cancer'],['174 patients'],"[""Eligible participants were aged 8\u201318 years, currently receiving or within the first year following cancer treatment with chemotherapy and/or radiotherapy."",             ""The population under study is children."", ""8-12 years and 12-18 years"",             ""The population under study consists of children aged 8-11 years and adolescents aged 12-18 years."",             ""\u226511 years"",             ""8-18 years"",             ""Answer: 100 patients"",             ""The eligibility criterion for the population under study is having 100% attendance to the intervention. The sample size of this eligible subgroup is 20 children.""]",
30585267,['18-70 years'],,"[None, 'Hepatocellular carcinoma']",,"[""Eligibility: Sixteen patients, aged 28-65 years, 14 males, 2 females, ASA I-II grade, no ongoing radiotherapy or chemotherapy, no historic liver surgery, no peripheral vascular disease affecting lower limb function."",]",
30585257,['18-76 years'],['female'],"['metastatic colorectal cancer', 'genetic variation in UGT1A1 enzyme']",['82 patients'],"[""age \u226518\u2013< 76 years, UGT1A1*1/*1 or *1/*28 genotypes, no prior chemotherapy for metastatic disease, ECOG performance status of 0 or 1, absolute neutrophil count \u22651500/\u03bcl, platelets \u2265100,000/\u03bcl, creatinine clearance <1.5\u00d7 the upper limit of normal (ULN), alanine transaminase and aspartate aminotransferase <2.5\u00d7 the ULN ( < 5\u00d7 the ULN in the presence of liver metastases), total serum bilirubin \u22641.5 mg/dl""]",
30584782,['>=18 years'],['Breast cancer survivors'],['Cancer-related fatigue'],['114 patients'],,
30583518,['not mentioned'],['female'],['CRC (Colorectal Cancer) survivors'],['34 patients'],"[""The eligibility criteria for the population under study include: being more than four months post cancer treatment, having a BMI indicating overweight or obesity, having no other malignancies besides CRC, no food allergies or major dietary restrictions, not pregnant or lactating, being a non-smoker, not taking antibiotics within one month prior to enrollment, and having no history of gallstones."",             ""The eligibility criteria for the population under study include meeting requirements based on BMI, sex, and daily caloric intake. Participants who met these criteria were then randomized to control or navy bean intervention groups.""]",
30580675,['≥ 21 years'],['survivors'],['post-treatment breast cancer'],['28-30 couples'],"[""Eligibility criteria: age \u2265 21 years, stable relationship involving sexual activity, completed active treatment for non-recurrent Stage I-III breast cancer 6 months \u2013 5 years ago with current use of endocrine therapy acceptable, scored \u2265 3 on Patient Care Monitor sexual concerns screening item, no past history of any cancer other than non-melanoma skin cancer, ECOG performance score \u2264 2, no overt cognitive dysfunction or psychiatric disturbance, not pregnant, not currently engaged in couple or marital therapy, and neither participant nor partner with hearing impairment or unable to speak English.""]",
30580268,['≥18 years'],,"['oesophagogastric malignancy', 'T2 and/or nodal disease']",['58 patients'],"[""48 patients (24 per group)""]",
30578205,['50.9 (SD 7.0) years'],['male'],['metastatic breast cancer'],['83 patients'],"[""females diagnosed with metastatic breast cancer, aged 18-65 years, use of at least third-line palliative chemotherapy treatment comprising taxanes, anthracyclines, capecitabine, and platinum compounds, and ability to use a smartphone for the mobile game."", ""90 patients""]",
30575560,['18 to 80 years'],['female'],['high-risk localized prostate cancer'],['376 patients'],"[""Patients were eligible if they had intermediate\u2010 or high\u2010risk disease as defined as T2 with Gleason score of 4 + 3 and a prostate\u2010specific antigen (PSA) level of \u2265 10; or T2 with a Gleason score of 8\u201310 regardless of PSA; or T3 disease regardless of PSA."",]",
30572939,['aged 56-70 years'],,['mid/low rectal adenocarcinoma'],['192 patients'],"[""1) histologically confirmed rectal adenocarcinoma; \n2) inferior tumor margin within 10 cm from the anal verge before CRT;\n3) presence of clinical T3-T4 or node-positive resectable tumor;\n4) no malignant disease in the anal canal;\n5) no initial evidence of distant metastasis.""]",
30572473,['18-75 years'],,['advanced gastric cancer'],['124 patients'],"[ ""18-75 years old, confirmed diagnosed with AGC, no NES, acupuncture, or electroacupuncture within 2 months, not pregnant or breastfeeding, not unconscious, not installing a pacemaker, no cognitive dysfunction, willing to participate and can tolerate NES stimulation.""]",
30568294,['≥18 years'],['male and female'],['HER2-positive metastatic breast cancer'],['690 patients'],"[""143 sites across 24 countries"",             ""Eligible patients were females aged \u2265 18 years with metastatic, histologically confirmed breast cancer with at least one measurable lesion as defined by RECIST 1.1, documented HER2+ status according to FISH, CISH, DISH, IHC3+, or IHC2+ with confirmation via FISH, CISH, or DISH, ER status (positive or negative), ECOG performance status of 0\u20132, screening lab values within specified limits, and LVEF within normal range by echocardiogram or multi-gated acquisition scan."",             ""690 randomised patients (n = 345/arm)"",             ""The eligibility criteria for the populations under study include: ITT - all randomized patients, PP - HER2+ MBC confirmed by central review, measurable disease at baseline confirmed by central review, received treatment as planned per protocol, safety population - all patients who received at least one dose of study treatment, PK population - no major protocol deviations influencing PK assessments and had at least one postdose concentration measurement.""]",
30564933,['<=40 years'],['female'],['cancer survivors'],['205 patients'],"[""65 hospitals"",             ""The population under study consists of eligible Dutch hospitals.""]",
30563829,['≥18 years'],['female'],"['bladder cancer', 'murine bladder cancer']",['278 patients'],"[""Eligible patients had invasive (clinical stage \u2265T1) BC, with no evidence of nodal or visceral metastasis, Zubrod performance status of 0-2, and were unable or unwilling to receive cisplatin-based neoadjuvant chemotherapy. Additional eligibility criteria included adequate bone marrow function (defined as granulocytes >1,500 cells/mm3, hemoglobin \u22659.5 gm/dL, and platelets >70,000/mm3), life expectancy \u22651 year, ability to provide sufficient tumor at surgery for research purposes, and age \u226518 years."",             ""8-12-week old C57BL/6J male or female mice""]",
30558053,['18-75 years'],,"['advanced colorectal cancer', 'cancer']",['79 patients'],"[""The eligibility of the population under study includes patients with a confirmed diagnosis of advanced colorectal cancer treated at the Affiliated Tumor Hospital of Guangxi Medical University between January 2015 and January 2018."",             ""18-75 years"",             ""The given text describes patients with advanced or metastatic colorectal cancer who have failed second-line or subsequent chemotherapy. This information defines the eligibility criteria for the population under study as having progressed beyond initial treatment and requiring further intervention. Therefore, the answer to the question \""What is eligibility of population under study?\"" would be: 'advanced or metastatic colorectal cancer with failure of 2nd-line or subsequent chemotherapy'.""]",
30554073,['>=20 years'],['female'],['metastatic colorectal cancer'],"['244 patients (I)', '247 patients (C)']","[""244 patients receiving cetuximab plus FOLFIRI; and a control cohort of 247 patients receiving bevacizumab plus FOLFIRI. All patients fulfilled the eligible criteria; no history of prior treatment for mCRC, measurable or evaluable disease according to Response Evaluation Criteria in Solid Tumors (RECIST) v1.0, and signed informed consent.""]",
30552595,['18 or older'],,['breast cancer'],['256 patients'],"[""age 21 or older, diagnosed with stage III or IV breast cancer, able to perform basic activities of daily living, undergoing chemotherapy, targeted therapy, and/or hormonal therapy for breast cancer at enrollment, able to speak and understand English, able to hear normal conversation over the phone, cognitively oriented to time, place, and person"",             ""18 or older""]",
30552531,['18 years or older'],['female'],"['Cancer', 'Low coping self-efficacy']",['134'],"[""671"",             ""The eligibility criteria for the population under study included cancer diagnosis, being in active treatment, aged 18 or older, scoring below the mean on the Cancer Behavior Inventory, and having completed at least four sessions of treatment. Out of 671 patients who completed the inventory, 323 were ineligible due to scores above the mean (CBI >245). Another 69 failed to complete the CBI, 62 had scores below the cut-off but hadn't finished required cancer treatments, and 74 opted not to participate when contacted. Nine died before being contacted. Thus, 208 people met all criteria and were eligible for participation; of these, 134 agreed to join the study, resulting in a recruitment rate of 64%."",]",
30544421,['19-75 years'],,"['gastric cancer', 'obesity']",['196'],"[""19-75 years"",             ""The eligibility of the population under study is American Society of Anesthesiologists Physical status I or II."",             ""The given text chunk does not provide information about the eligibility criteria for the population under study. Therefore, the answer is -999."",             ""82 patients for each group"",             ""The sample size for the study is 196 patients, with an allowance for 20% dropout. This translates to 98 patients per group.""]",
30538099,['55 years or older'],['male'],['prostate cancer'],"['1,157 cases']","[""18,882 men 55 years of age or older"",             ""The eligibility criteria for the population under study include being a participant in the PCPT project, having sufficient DNA available from white blood cells for genotyping, and meeting specific control selection scheme requirements. These requirements involve matching cases to controls based on treatment arm, age (in 5-year age groups), and positive family history for first-degree relatives with prostate cancer. Additionally, cases must have undergone an end-of-study biopsy between 90 and 180 days after a 7-year follow-up period. Cases from white and other ethnic groups were combined as the effect of finasteride did not differ by ethnicity and adjusting for it did not yield different results in case-only analyses.""]",
30531832,,['female'],['metastatic colorectal cancer'],['~120 patients'],['previously untreated'],
30528653,['≤ 18 years'],,"['locally advanced, high-risk prostate cancer', 'prostate cancer']",['124 patients'],,
30528222,['≥18 yr'],['male'],"['metastatic castration-resistant prostate cancer (mCRPC)', 'bone metastases', 'narcotic dependency']",['not provided'],"[""Eligible patients are \u226518 years old, have a pathological diagnosis of metastatic castration-resistant prostate cancer (mCRPC), serum testosterone levels <50 ng/dl, prostate cancer-related bone metastases evidenced on bone scans, and documented pain from bone metastases that required opioid narcotic intervention. Patients must have received three or more cycles of docetaxel or progressed after docetaxel-containing therapy and discontinued abiraterone or enzalutamide due to disease progression. The average daily worst pain intensity during a 7-d run-in stage (\u22654 d of reporting) had to be 4\u20138, as measured on the Brief Pain Inventory (BPI) Short Form (Item 3). Patients could not have had prior treatment with cabozantinib or mitoxantrone. Patients were also excluded if they had received systemic anticancer therapy within 2 wk or radiation therapy within 4 wk of randomization."",]",
30527787,['not specified'],['male'],['discrete lesion on mpMRI'],['The sample size is at least 128 men.'],"[""Eligibility criteria included a discrete lesion seen on mpMRI with Likert scoring 3, 4, or 5, and no hormone therapy (except 5-alpha reductase inhibitors) within the last 6 mo, previous radiation therapy to the pelvis, PC treatment, or evidence of metastatic or nodal disease outside the prostate."",             ""The eligibility criterion for the population under study is not explicitly mentioned in this chunk. However, it can be inferred that the study included men with clinically significant cancer as determined by visual-registration targeted biopsies. The initial sample size of 50 patients was increased to at least 128 men after re-evaluating disease prevalence.""]",
30526533,['Not specified'],['female'],"['primary breast cancer', 'primary breast cancer']",['The sample size of patients under study is 4477.'],"[""The eligibility of the population under study includes 4477 women with primary breast cancer, originating from four multicenter randomized controlled trials in stage II breast cancer and two prospectively followed cohorts. Patients were excluded due to missing information on follow-up, number of positive lymph nodes, and/or tumor size. The endpoint was defined as distant recurrence-free interval (D-RFi) according to the DATECAN initiative, and the follow-up was restricted to ten years after diagnosis."",]",
30521075,['≥18 years'],['female and male'],['head and neck cancer'],['90 participants'],['spouses'],
30519577,['18 years or older'],['female'],['T1a glottic cancer'],['131 patients'],,
30506519,['18 years or older'],"['Asian', 'Japanese']","['G/GEJ cancer', 'cancer']",['493 patients'],"['unresectable', 'advanced', 'recurrent']",
30502933,['55-74 years'],['general population'],['no current cancer treatment'],['77444'],"['No previous diagnosis of prostate', 'lung', 'colorectal', 'or ovarian cancer']",
30502785,['not mentioned'],['male and female'],['metastatic renal cell carcinoma (mRCC)'],['750 patients'],"[""The text chunk describes an analysis of data from two trials with 92% and 91% of randomized patients available for the study (689 out of 750 in Trial 1, and 659 out of 723 in Trial 2). The eligibility criteria are not explicitly mentioned. Therefore, the answer is -999."",             ""707 of 750 (94%) randomized patients from Trial 1 were available for RMM. In Trial 2, data from 674 of 723 (93%) randomized patients were available for RMM.""]",
30501974,['16-80 years'],['female'],"['differentiated thyroid cancer', 'Thyroid cancer', 'Thyroid cancer']",['438 patients'],"['Tumour stage T1-T3', 'No distant metastasis', 'No microscopic residual disease']",
30515674,['≥ 65 years'],['female'],"[None, 'advanced breast cancer']",['2:1'],"[['postmenopausal'], ['estrogen receptor-positive', 'human epidermal growth factor receptor 2-negative']]",
30514262,['18-80 years'],['female and male'],['stage I-III CRC'],['160 patients'],,
30513377,['18 years or older'],['female'],"['medically inoperable non-small cell lung cancer', 'peripheral T1 or T2 N0M0 tumors']",['94'],"[""18 years of age or older, Zubrod performance status score of 0 to 2, medically inoperable, early-stage histologically proven NSCLC (AJCC 6th edition T1 to T2 \u22645 cm) N0M0, peripheral tumors per RTOG 0236, signed informed consent""]",
30511433,['18 years old and above'],['female'],['primary breast cancer'],['44'],"[""The eligibility criteria for the population under study include primary breast cancer, age 18 years or older, reporting appearance-related side effects of cancer treatment such as irritated or pale skin, loss of scalp hair, eyebrows, or eyelashes, and time since diagnosis less than 24 months. Forty-four eligible participants were included in the study."",]",
30509771,['56 or older'],['female'],"[None, 'Stage I-IIIA hormone receptor-positive breast cancer']",['The sample size of patients under study is 158 centers.'],[['postmenopausal']],
30509312,['18 -75 years'],['male'],['advanced squamous non-small-cell lung cancer (NSCLC)'],['343'],,
30508898,['Not specified'],['female'],['gastric outlet obstruction'],['44 cases in each group'],"[""The eligibility criteria for the population under study include gastric cancer patients with symptomatic gastroesophageal junction (GOO) obstruction located in the antrum and pylorus, who are not candidates for surgery due to distant tumor metastasis or severe comorbidities. Exclusion criteria include mild symptoms allowing liquid oral intake, gastrointestinal perforation, other intestinal obstruction origins, diabetes, use of pro-motility drugs, or severe comorbidities contraindicating the stenting procedure."",]",
30501015,['50.34 years (SD=9.03)'],['female and male'],['Nonmetastatic breast cancer'],['240'],"[Women with stage 0-III breast cancer, 2\u201310 weeks post-breast cancer surgery, before beginning additional adjuvant treatment, no prior cancer diagnosis, no prior treatment for a serious psychiatric disorder, and fluent in English.""]",
