,pmid,outcome,labels,full_text_values
0,31158087,"['extended survival', 'quality-adjusted life years (QALYs)', 'incremental cost-effectiveness ratios (ICERs)']","['Mortality', 'Life impact', 'Resource use']","[['14.11 yr', '5.79 yr'], ['0.39', '0.51', '�10 610/QALY', '�13 868/QALY', 'approximately �8000/QALY', '0.04'], ['-�251', '�5514/QALY', 'above �13 000/QALY', '�10 610/QALY', '�13 299/QALY', '�18 342/QALY', 'approximately �8000/QALY']]"
1,30646153,['Treatment delivered'],['Resource use'],"[['PET-CT group: 113 patients', 'CT group: 58 patients', 'Standard pelvic CRT: 68/112 (60.7%)', 'More extensive CRT: 38/112 (33.9%); 11/56 (19.6%) in CT group', 'Palliative therapy: 6/112 (5.4%); 3/56 (5.4%) in CT group', 'PET-CT group: EFRT to para-aortic nodes (21.4%), EFRT to common iliac nodes (12.5%); CT group: EFRT to para-aortic nodes (14.3%), EFRT to common iliac nodes (5.4%); OR, 1.64; 95% CI, 0.68-3.92; P = .27', 'Increase in potentially curative EFRT to para-aortic nodes by 7.1% in the PET-CT group', '58 patients: 12 received more extensive radiation, 1 received palliative treatment', '17 PET-CT patients with only pelvic nodes abnormal: 11 received standard pelvic radiation, 5 received more extensive radiation, 1 underwent palliative treatment', '28 patients with abnormal common iliac or para-aortic nodes: 7 received standard pelvic radiation', 'In the CT group, 3 of 34 patients received more extensive or palliative therapy even though the CT scan results were normal,', 'PET-CT', 'CT alone', 'maximal SUV mean: 15.4', 'maximal SUV SD: 7.4', 'logarithm of SUV trended toward negative prognostic factor, not statistically significant for OS (HR, 1.58; 95% CI, 0.69-3.64; P = .28) or EFS (HR, 1.65; 95% CI, 0.79-3.42; P = .18)', 'No statistically significant difference']]"
2,30646110,"['breast pain', 'nausea/vomiting', 'fatigue', 'comfort/well-being', 'anxiety', 'PACU length of stay']","['Clinical', 'Adverse Event', 'Clinical', 'Life impact', 'Life impact', 'Resource use']","[['mean (SD) score: control arm 1.75 (1.59), hypnosis arm 2.63 (1.62); P = .004; difference ?0.88; 95% CI ?1.45 to ?0.29'], ['47.9% (34 of 71) in control arm vs 24.7% (19 of 77) in hypnosis arm (P = .004)'], ['3.81 (2.56)', '3.66 (2.40)', '0.15; 95% CI, ?0.74 to 1.04', '2.99 [2.56]', '0.82, 95% CI, 0.03-1.61; P = .03', 'difference on evening of surgery: 1.16; 95% CI, 0.31-2.00; P = .01', 'difference on day 1 after surgery: 0.76; 95% CI, ?0.06 to 1.58; P = .048'], ['similar in the 2 arms', 'tendency toward lower levels...not statistically significant'], ['similar in the 2 arms', 'tendency toward lower levels...not statistically significant', 'difference on evening of surgery: 0.92; 95% CI, 0.22-1.62; P = .03'], []]"
3,30595329,"['Change in LVEF', 'Development of diastolic dysfunction, clinically overt heart failure or death', 'Percentage of patients with LVEF <50% at 6 months']","['Clinical', 'Mortality', 'Clinical']","[['-3.8 � 7.1% (p = 0.002)'], ['-999', '11 patients died; 5.3% on placebo, 2.4% on carvedilol 6.25 mg, 10.5% on carvedilol 12.5 mg, and 10.8% on carvedilol 25 mg.'], ['11% (placebo), 1% (carvedilol 12.5 mg)', 'p = 0.013', '1/6', '45%']]"
4,30594153,"['disease free survival', '3-year overall survival (OS) rate', 'DFS rate', 'progression during neoadjuvant therapy', 'R0 and R1 resection rate', 'quality of life']","['Mortality', 'Mortality', 'Mortality', 'Adverse Event', 'Clinical', 'Life impact']","[['at 18 months after randomization'], [], [], [], [], []]"
5,30591959,"['Overall response rate (ORR) to paclitaxel', 'Positive immune responses', 'Grade 1/2 toxicities', 'Grade 3 fatigue and toxicities', 'Survival differences between arms']","['Clinical', 'Clinical', 'Adverse Event', 'Adverse Event', 'Mortality']","[[], ['43.3%; 95% confidence interval [CI], 23.9�65.1%', '9.2 months'], ['mostly'], ['8 patients on arm C'], []]"
6,30591028,"['progression-free survival (PFS)', 'overall survival (OS)', 'objective response rate', 'duration of response', 'safety']","['Mortality', 'Mortality', 'Clinical', 'Clinical', 'Adverse Event']","[['1-year PFS rate: 16.9% in olaratumab+liposomal doxorubicin arm, 12.5% in liposomal doxorubicin arm; median PFS similar between groups (stratified HR = 1.043; p = 0.837)', '96 PFS events', '5.5 months vs 3.7 months', 'HR = 0.85; 95% CI 0.38�1.91', 'HR = 0.57; 95% CI 0.29�1.12 (n = 50)', 'HR = 0.5 (95% CI 0.21�1.22) (n = 27)'], ['Median OS was similar between groups (HR = 1.098; 95% CI 0.71�1.71; p = 0.678)', 'The 1-year survival was 61.8% for patients receiving olaratumab+liposomal doxorubicin and 60.2% for patients treated with liposomal doxorubicin.', 'The 2-year survival was 31.5 and 42.9% in the olaratumab+liposomal doxorubicin and liposomal doxorubicin arms, respectively.'], ['12.9% (olaratumab+liposomal doxorubicin)', '16.4% (liposomal doxorubicin)'], ['39.1 weeks (olaratumab+liposomal doxorubicin)', '16.9 weeks (liposomal doxorubicin)'], ['54 patients (43.9%) discontinued study therapy because of progressive disease per RECIST', '18 patients (14.6%) discontinued therapy because of symptomatic deterioration', '2 patients (1.6%) in the olaratumab+liposomal doxorubicin arm died', 'Nine patients (7.3%) discontinued the study therapy due to AEs.', '66% in the olaratumab+liposomal doxorubicin arm and 62% in the liposomal doxorubicin arm had died at the time of data cutoff, disease progression being the most common cause of death (35 olaratumab+liposomal doxorubicin, 33 liposomal doxorubicin). Three patients (4.8%) in the olaratumab+liposomal doxorubicin arm (1 SAE of disease progression, 1 SAE of intracranial hemorrhage, and 1 SAE of pulmonary embolism) and 2 patients (3.3%) in the liposomal doxorubicin arm (2 SAEs of disease progression) died due to an AE. Three deaths in each treatment arm were from other causes.', 'The rate of discontinuation due to AEs was higher in the liposomal doxorubicin arm (3.2% vs 11.5%). The incidence of AEs (all grades and grade ? 3) was similar between the olaratumab+liposomal doxorubicin arm and the liposomal doxorubicin arm (all grades, 100% vs 100%; grade ? 3, 60% vs 66%; any SAE, all grades, 43.5% vs 37.7%). The most common treatment-emergent adverse events (TEAEs), regardless of causality (with a ? 5% between-arm difference), were fatigue-related (61%), nausea (57%), and constipation (52%) with olaratumab+liposomal doxorubicin and nausea (64%), fatigue-related (62%), and mucositis (46%) with liposomal doxorubicin', 'no cases of febrile neutropenia', 'rate of serious olaratumab-related infections: 1.6%', 'rate of liposomal doxorubicin�related infections: 1.6%']]"
7,30587441,"['PFS', 'median PFS', 'Median OS', 'Median OS', 'EFS: 3.5 months for cabozantinib, 5.0 months for weekly paclitaxel', 'HR 1.81 (90% CI 1.24-2.63, p = 0.01) for EFS', 'Overall response rate']","['Clinical', 'Clinical', 'Mortality', 'Mortality', 'Clinical', 'Clinical', 'Clinical']","[[], ['5.3 months for cabozantinib', '5.5 months for weekly paclitaxel'], ['19.4 months for cabozantinib, not reached for weekly paclitaxel'], ['19.4 months for cabozantinib, not reached for weekly paclitaxel'], [], [], ['7% for cabozantinib, 24.1% for weekly paclitaxel']]"
8,30587148,"['Cardiorespiratory fitness', 'Muscle strength', 'Body composition', 'Psychosocial function', 'Health-related quality of life (HrQoL)', 'Bone mineral density']","['Clinical', 'Clinical', 'Clinical', 'Life impact', 'Life impact', 'Clinical']","[[], ['larger improvements in lower body muscle strength were found in the intervention group compared to the control group (? = 56.5 Newton; 95% C = 8.5; 104.5)', 'upper body muscle strength in intervention group: ? = 36.8 Newton; 95% CI = 12.6�60.9', 'lower body muscle strength in intervention group: ? = 49.1 Newton; 95% CI = 14.1; 84.0'], [], ['fewer depressive symptoms (? = ?1.4, 95% CI = ?2.4; ?0.5), higher athletic competence (? = 0.2, 95% CI: 0.0; 0.4), higher global self-worth (? = 0.2, 95% CI: 0.0; 0.3) and less total behaviour problems (? ?0.5, 95% CI: -0.9; ?0.1) were significantly associated with higher HrQoL at long-term', 'no significant associations with long-term HrQoL were found for physical variables and fatigue', '90% completion rate', '93% of all psychosocial exercises were completed'], ['intervention group: ? = 5.6; 95% CI = 0.1�11.0', 'control group ? = 9.7; 95% CI = 4.6�14.8', 'higher at long-term when associated with fewer depressive symptoms (? = ?1.4, 95% CI = ?2.4; ?0.5), higher athletic competence (? = 0.2, 95% CI: 0.0; 0.4), higher global self-worth (? = 0.2, 95% CI: 0.0; 0.3) and less total behaviour problems (? ?0.5, 95% CI: -0.9; ?0.1)', 'no significant associations with long-term HrQoL were found for physical variables and fatigue'], ['intervention group: ? = 0.04 g/cm2; 95% CI = 0.01�0.07', 'control group ? = 0.03 g/cm2; 95% CI = 0.02�0.04']]"
9,30585267,"['Superoxide dismutase elimination', 'Oxygen free radical scavenging', 'Lipid peroxidation', 'Neutrophil aggregation', 'Inflammatory cytokines (TNF?, IL1?)', 'Hepatocyte apoptosis', 'Bax/Bcl-2 ratio', 'Akt and ERK1/2 phosphorylation', 'Alanine aminotransferase', 'Aspartic transaminase', 'Total bilirubin']","['Clinical', 'Clinical', 'Adverse Event', 'Clinical', 'Adverse Event', 'Adverse Event', 'Clinical', 'Clinical', 'Clinical', 'Clinical', 'Clinical']","[[], [], [], [], [], ['more obvious in I/R group than in IPO and LIPOC groups', 'Increased significantly in I/R, IPO and LIPOC groups compared to S group (P<0.01)', 'Decreased significantly in IPO and LIPOC groups compared to I/R group (P<0.05)', 'AI values of I/R group, LIPOC group, LY+LIPOC group and PD+LIPOC group were significantly higher than those of S group (P<0.01)', 'AIs were significantly higher in the LY+LIPOC group and PD+LIPOC group (P<0.05)'], [], [], ['increased significantly in I/R, IPO and LIPOC groups (P<0.01); while compared with I/R group, the plasma activities of ALT were decreased significantly in IPO and LIPOC groups (P<0.01)', 'Increased significantly in I/R, LIPOC, LY+LIPOC and PD+LIPOC groups compared to S group (P<0.01)', 'Decreased significantly in LIPOC groups compared to I/R group (P<0.05, P<0.01)', 'Increased significantly in LY+LIPOC and PD+LIPOC groups compared to LIPOC group (P<0.05, P<0.01)', 'significantly higher after operation (P<0.05)'], ['increased significantly in I/R, IPO and LIPOC groups (P<0.01); while compared with I/R group, the plasma activities of AST were decreased significantly in IPO and LIPOC groups (P<0.01)', 'Increased significantly in I/R, LIPOC, LY+LIPOC and PD+LIPOC groups compared to S group (P<0.01)', 'Decreased significantly in LIPOC groups compared to I/R group (P<0.05, P<0.01)', 'Increased significantly in LY+LIPOC and PD+LIPOC groups compared to LIPOC group (P<0.05, P<0.01)', 'significantly higher after operation (P<0.05)'], ['significantly higher after operation (P<0.05, P<0.01)']]"
