pmid,Intervention,labels,detail
31158087,"['adding docetaxel to the standard of care (SOC)', 'docetaxel (75mg/m2) administered alongside SOC for six three-weekly cycles']","['Drug', 'Drug']",{'docetaxel (75mg/m2) administered alongside SOC for six three-weekly cycles': [{'dosage': '75mg/m2'}]}
30646153,"['PET-CT plus CT of the abdomen and pelvis', 'CT alone']","['Surgical', 'Surgical']",{}
30646110,"['15-minute hypnosis session before general anesthesia in the operating room', 'randomized between control and hypnosis arms']","['Psychological', 'Control']","{'15-minute hypnosis session before general anesthesia in the operating room': [{'delivery_method': 'hypnosis session'}], 'randomized between control and hypnosis arms': [{'delivery_method': 'random assignment'}]}"
30595329,"['Placebo', 'Carvedilol']","['Control', 'Drug']",{}
30594153,"['nab-paclitaxel', 'gemcitabine', 'tumor surgery', 'tumor surgery', 'nab-paclitaxel/gemcitabine']","['Drug', 'Drug', 'Surgical', 'surgical', 'drug']","{'nab-paclitaxel': [{'dosage': '125 mg/m2'}], 'gemcitabine': [{'dosage': '1000 mg/m2'}], 'tumor surgery': [{'surgical_technique': 'laparoscopic surgery'}], 'nab-paclitaxel/gemcitabine': [{'dosage': '125 mg/m2 for nab-paclitaxel, 1000 mg/m2 for gemcitabine'}]}"
30591959,"['Dendritic cells transfected with wild-type TP53 (vaccine)', 'Vaccine alone (arm B)', 'Vaccine plus all-trans-retinoic acid (arm C)', 'Paclitaxel at progression for all patients']","['Drug', 'Drug', 'Drug', 'Drug']","{'Dendritic cells transfected with wild-type TP53 (vaccine)': [{'dosage': '2–5 × 10^6 autologous DCs'}], 'Paclitaxel at progression for all patients': [{'dosage': '175 mg/m2'}]}"
30591028,"['olaratumab plus liposomal doxorubicin', 'liposomal doxorubicin alone']","['Drug', 'Drug']",{}
30587441,"['cabozantinib 60 mg orally (PO) daily', 'weekly paclitaxel 80 mg/m2 given 3 out of 4 weeks']","['Drug', 'Drug']","{'cabozantinib 60 mg orally (PO) daily': [{'dosage': '60 mg'}], 'weekly paclitaxel 80 mg/m2 given 3 out of 4 weeks': [{'dosage': '80 mg/m2'}]}"
30587148,"['Combined physical exercise and psychosocial intervention', 'individual physical exercise sessions', 'psychosocial training sessions']","['Physical', 'physical', 'educational']","{'individual physical exercise sessions': [{'exercise_activity_type': 'weight-bearing exercises', 'dosage': 'at least three times per week', 'duration': '11-min', 'delivery_method': 'timed-music'}]}"
30585267,"['Limb ischemic post-conditioning (LIPOC)', 'Surgical resection of liver cancer']","['Physical', 'Surgical']",{'Limb ischemic post-conditioning (LIPOC)': [{'exercise_activity_type': '10-sec reperfusion followed by 10-sec re-occlusion for six times at the onset of reperfusion after warm ischemia'}]}
30585257,"['FOLFIRI regimen with high-dose irinotecan (HD-FOLFIRI)', 'standard FOLFIRI regimen']","['Drug', 'Drug']",{}
30584782,"['psychoeducation', 'eurythmy therapy', 'painting therapy', 'sleep education/restriction', 'Combination therapy (CT): MT plus aerobic training [AT]', 'Aerobic training (AT) alone']","['educational', 'physical', 'psychological', 'educational', 'Physical', 'Physical']","{'eurythmy therapy': [{'exercise_activity_type': 'defined exercises'}], 'Combination therapy (CT): MT plus aerobic training [AT]': [{'exercise_activity_type': 'aerobic training', 'delivery_method': 'home-based training', 'dosage': '3-5 times per week/30-45 minutes'}], 'Aerobic training (AT) alone': [{'exercise_activity_type': 'aerobic training', 'delivery_method': 'home-based training', 'dosage': '3-5 times per week/30-45 minutes'}]}"
30583518,"['consumption of 1 meal and 1 snack daily', '35 g of cooked navy bean', 'macronutrient matched meals and snacks']","['drug', 'drug', 'control']",{}
30580675,"['4-session couple-based Intimacy Enhancement (IE) intervention', 'educational control condition']","['Psychological', 'Control']","{'4-session couple-based Intimacy Enhancement (IE) intervention': [{'delivery_method': 'telephone', 'session_duration': 70.73}]}"
